Experiment,Configuration,Total_Reward,Adaptation_Latency,Death_Count,Survival_Rate,Recovery_Time
Experiment_1,Full Model,36565.283289840816,1000.0,,,
Experiment_1,Ablated NA,17461.28328984074,939.0,,,
Experiment_1,Ablated 5-HT,35973.28328984081,1000.0,,,
Experiment_1,Static Baseline,29189.283289840725,1000.0,,,
Experiment_2,Full Model,-11885.0,,282.0,17.73049645390071,
Experiment_2,Ablated NA,-9880.0,,275.0,18.007272727272728,
Experiment_2,Ablated 5-HT,-38755.0,,521.0,9.547024952015356,
Experiment_2,Static Baseline,-36475.0,,500.0,9.996,
Experiment_3,Full Model,14261.0,,,,300.0
Experiment_3,Ablated NA,14221.0,,,,300.0
Experiment_3,Ablated 5-HT,14844.0,,,,300.0
Experiment_3,Static Baseline,201834.0,,,,12.0
